InstanteActual,VolumenDescargas,VolumenAlmacenamiento,VolumenVentas1,VolumenVentas2,VolumenFugas,ProxVolumenDescargas,ProxVolumenVentas1,ProxVolumenVentas2,VolumenAcumuladoDescargas,VolumenAcumuladoVentas1,VolumenAcumuladoVentas2,VolumenAcumuladoFugas,InstanteProxDispDescargas,InstanteProxDispVentas1,InstanteProxDispVentas2,RecargasTotalesDescargas,RecargasTotalesVentas1,RecargasTotalesVentas2,AlturaFuga,CaudalFuga
2024-06-29 23:55:04,69.0,7709.0,157.0,560.0,933.0,99.0,278.0,816.0,335.0,97.0,826.0,512.0,267.0,10.0,33.0,79.0,49.0,79.0,21.0,967.0
2024-06-29 23:55:11,66.0,534.0,226.0,394.0,363.0,738.0,844.0,590.0,550.0,159.0,623.0,947.0,385.0,17.0,72.0,39.0,47.0,85.0,96.0,885.0
2024-06-29 23:55:18,47.0,4607.0,773.0,322.0,305.0,176.0,53.0,224.0,630.0,366.0,400.0,444.0,370.0,85.0,16.0,98.0,55.0,33.0,57.0,576.0
2024-06-29 23:55:24,44.0,6958.0,696.0,771.0,64.0,560.0,598.0,751.0,940.0,503.0,551.0,801.0,205.0,80.0,18.0,74.0,49.0,13.0,20.0,25.0
2024-06-29 23:55:30,36.0,6728.0,125.0,384.0,167.0,949.0,476.0,46.0,576.0,666.0,467.0,520.0,384.0,91.0,10.0,58.0,11.0,44.0,18.0,718.0
2024-06-29 23:55:36,79.0,9317.0,516.0,48.0,762.0,29.0,39.0,708.0,903.0,657.0,761.0,752.0,466.0,21.0,57.0,96.0,55.0,30.0,94.0,555.0
2024-06-29 23:58:56,79.0,7335.0,6.0,972.0,98.0,95.0,319.0,454.0,223.0,289.0,760.0,905.0,126.0,23.0,6.0,13.0,70.0,38.0,94.0,220.0
2024-06-29 23:59:02,56.0,1564.0,597.0,648.0,704.0,550.0,150.0,976.0,412.0,554.0,797.0,504.0,381.0,48.0,65.0,78.0,99.0,9.0,29.0,553.0
2024-06-29 23:59:09,44.0,6958.0,696.0,771.0,64.0,560.0,598.0,751.0,940.0,503.0,551.0,801.0,205.0,80.0,18.0,74.0,49.0,13.0,20.0,25.0
2024-06-29 23:59:15,36.0,6728.0,125.0,384.0,167.0,949.0,476.0,46.0,576.0,666.0,467.0,520.0,384.0,91.0,10.0,58.0,11.0,44.0,18.0,718.0
2024-06-30 00:00:35,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 00:00:42,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 00:00:48,8.0,9997.0,651.0,849.0,203.0,731.0,531.0,14.0,419.0,775.0,9.0,180.0,929.0,23.0,54.0,60.0,37.0,45.0,17.0,525.0
2024-06-30 00:00:56,44.0,6958.0,696.0,771.0,64.0,560.0,598.0,751.0,940.0,503.0,551.0,801.0,205.0,80.0,18.0,74.0,49.0,13.0,20.0,25.0
2024-06-30 00:01:03,25.0,767.0,689.0,818.0,14.0,825.0,918.0,28.0,29.0,34.0,727.0,240.0,754.0,40.0,96.0,35.0,83.0,48.0,65.0,11.0
2024-06-30 00:02:04,69.0,7709.0,157.0,560.0,933.0,99.0,278.0,816.0,335.0,97.0,826.0,512.0,267.0,10.0,33.0,79.0,49.0,79.0,21.0,967.0
2024-06-30 00:03:59,69.0,7709.0,157.0,560.0,933.0,99.0,278.0,816.0,335.0,97.0,826.0,512.0,267.0,10.0,33.0,79.0,49.0,79.0,21.0,967.0
2024-06-30 00:04:08,53.0,547.0,825.0,210.0,662.0,211.0,808.0,377.0,761.0,625.0,335.0,868.0,995.0,76.0,67.0,39.0,74.0,31.0,56.0,301.0
2024-06-30 00:05:28,69.0,7709.0,157.0,560.0,933.0,99.0,278.0,816.0,335.0,97.0,826.0,512.0,267.0,10.0,33.0,79.0,49.0,79.0,21.0,967.0
2024-06-30 00:05:34,79.0,7335.0,6.0,972.0,98.0,95.0,319.0,454.0,223.0,289.0,760.0,905.0,126.0,23.0,6.0,13.0,70.0,38.0,94.0,220.0
2024-06-30 00:05:41,56.0,1564.0,597.0,648.0,704.0,550.0,150.0,976.0,412.0,554.0,797.0,504.0,381.0,48.0,65.0,78.0,99.0,9.0,29.0,553.0
2024-06-30 00:05:51,29.0,2253.0,189.0,166.0,356.0,304.0,860.0,898.0,592.0,720.0,116.0,580.0,867.0,52.0,39.0,98.0,1.0,11.0,16.0,891.0
2024-06-30 00:05:59,65.0,7391.0,107.0,924.0,365.0,121.0,454.0,106.0,450.0,703.0,832.0,32.0,141.0,54.0,77.0,17.0,0.0,89.0,65.0,747.0
2024-06-30 00:06:05,56.0,4390.0,152.0,48.0,14.0,44.0,918.0,150.0,101.0,295.0,821.0,731.0,501.0,45.0,61.0,57.0,10.0,28.0,5.0,173.0
2024-06-30 00:06:11,15.0,5960.0,67.0,140.0,707.0,566.0,728.0,562.0,363.0,969.0,890.0,623.0,278.0,13.0,61.0,10.0,40.0,78.0,0.0,394.0
2024-06-30 00:06:17,29.0,7144.0,175.0,870.0,416.0,599.0,80.0,618.0,288.0,452.0,128.0,800.0,662.0,40.0,49.0,85.0,83.0,15.0,59.0,878.0
2024-06-30 00:06:26,31.0,4174.0,463.0,877.0,324.0,784.0,833.0,750.0,527.0,999.0,429.0,609.0,144.0,64.0,51.0,12.0,79.0,34.0,7.0,583.0
2024-06-30 00:06:32,87.0,5363.0,37.0,766.0,534.0,83.0,675.0,184.0,555.0,156.0,399.0,664.0,93.0,86.0,33.0,24.0,47.0,94.0,30.0,767.0
2024-06-30 00:11:08,69.0,7709.0,157.0,560.0,933.0,99.0,278.0,816.0,335.0,97.0,826.0,512.0,267.0,10.0,33.0,79.0,49.0,79.0,21.0,967.0
